,index,timestamp,windoff_NO_SoennavindA,windoff_NO_SoervestF,windoff_NO_SoervestB,windoff_NO_SoervestC,windoff_NO_VestavindF,windoff_NO_VestavindE,windoff_NO_VestavindB,windoff_NO_VestavindA,windoff_NO_NordvestC,windoff_NO_NordvestA,windoff_SE_3,windoff_DK_1,windoff_DK_2,windoff_DE_LU,windoff_NL_1,windoff_NL_2,windoff_BE,windoff_GB_mid,windoff_GB_sor,windoff_GB_scot,load_UK,load_DK,load_DE,load_NL,load_NO,load_SE,load_BE,solar_BE_main,solar_DE_main,solar_DK_main,solar_NL_main,solar_NO_OSTLAND,solar_NO_SOROST,solar_NO_HALLINGDAL,solar_NO_TELEMARK,solar_NO_SORLAND,solar_NO_VESTSYD,solar_NO_VESTMIDT,solar_NO_NORGEMIDT,solar_NO_HELGELAND,solar_NO_TROMS,solar_NO_FINNMARK,solar_SE_main,solar_UK_main,windon_BE_main,windon_DE_main,windon_DK_main,windon_NL_main,windon_NO_OSTLAND,windon_NO_SOROST,windon_NO_HALLINGDAL,windon_NO_TELEMARK,windon_NO_SORLAND,windon_NO_VESTSYD,windon_NO_VESTMIDT,windon_NO_NORGEMIDT,windon_NO_HELGELAND,windon_NO_TROMS,windon_NO_FINNMARK,windon_SE_main,windon_UK_main,const
0,4136,2011-06-22 08:00:00+00:00,0.329,0.462,0.407,0.47,0.027,0.115,0.282,0.312,0.241,0.791,0.479,0.438,0.527,0.54,0.678,0.609,0.672,0.736,0.768,0.16,0.94394496,0.932515819,0.881744946,0.782739248,0.760518591,0.775191499,0.90259486,0.315,0.597,0.541,0.446,0.345,0.534,0.621,0.585,0.323,0.511,0.526,0.295,0.128,0.194,0.612,0.658,0.388,0.211,0.106,0.47,0.103,0.036,0.046,0.027,0.034,0.068,0.021,0.015,0.084,0.433,0.157,0.632,0.265,0.541,1
1,6705,2011-10-07 09:00:00+00:00,0.962,0.963,0.963,0.963,0.961,0.958,0.936,0.919,0.872,0.964,0.768,0.961,0.71,0.89,0.913,0.922,0.845,0.937,0.91,0.948,1.0322261,1.19000553,1.22816761,1.205085269,1.134870835,1.150651321,1.224442376,0.587,0.491,0.458,0.543,0.362,0.5,0.364,0.53,0.427,0.203,0.067,0.055,0.029,0.073,0.015,0.519,0.23,0.538,0.43,0.401,0.531,0.38,0.495,0.66,0.837,0.757,0.718,0.319,0.247,0.491,0.544,0.682,0.768,0.551,1
